gender,event,medal,type,year,country,abb,athlete
Men,Double FITA Round Amputee,Gold,Archery,1980,Denmark,DEN,LARSEN Finn
Men,Double FITA Round Paraplegic,Gold,Archery,1980,FR Germany,FRG,GEISS H.
Men,Double FITA Round Tetraplegic,Gold,Archery,1980,Canada,CAN,PARKER T.
Men,Double FITA Round Novice Paraplegic,Gold,Archery,1980,Mexico,MEX,CHAVEZ Alfredo
Men,Double FITA Round Novice Tetraplegic,Gold,Archery,1980,Finland,FIN,KARKAINEN K.
Men,Short Metric Round Paraplegic,Gold,Archery,1980,France,FRA,CHAPUIS J. M.
Men,Short Metric Round Tetraplegic,Gold,Archery,1980,FR Germany,FRG,HENKER Siegmar
Men,Advanced Metric Round Paraplegic,Gold,Archery,1980,Korea,KOR,KIM Yoon Bae
Women,Double FITA Round Amputee,Gold,Archery,1980,Norway,NOR,ROSVIK Marie
Women,Double FITA Round Paraplegic,Gold,Archery,1980,New Zealand,NZL,FAIRHALL Neroli
Women,Double FITA Round Novice Paraplegic,Gold,Archery,1980,Japan,JPN,OHMAE Chiyoko
Women,Short Metric Round Paraplegic,Gold,Archery,1980,Austria,AUT,SCHWEIZER Rosa
Women,Advanced Metric Round Paraplegic,Gold,Archery,1980,United States of America,USA,UNSICKER K.
Men,Double FITA Round Team Amputee,Gold,Archery,1980,FR Germany,FRG,BRENNE Manfred
Men,Double FITA Round Team Amputee,Gold,Archery,1980,FR Germany,FRG,BUTENHOFF Hilmar
Men,Double FITA Round Team Amputee,Gold,Archery,1980,FR Germany,FRG,POHL K.
Men,Double FITA Round Team Paraplegic,Gold,Archery,1980,Belgium,BEL,BARDOEL Filip
Men,Double FITA Round Team Paraplegic,Gold,Archery,1980,Belgium,BEL,GRUN Guy
Men,Double FITA Round Team Paraplegic,Gold,Archery,1980,Belgium,BEL,MEYSEN Jozef
Men,Double FITA Round C1-C2,Gold,Archery,1984,Canada,CAN,BAREFOOT David
Men,"Double FITA Round C3,C6",Gold,Archery,1984,Great Britain,GBR,THORNE Philip
Men,Double FITA Round Div. 3,Gold,Archery,1984,Norway,NOR,LOVVOLD Kjell
