gender,medal,type,year,country,abb
Men,Gold,Archery,1980,Denmark,DEN
Men,Gold,Archery,1980,FR Germany,FRG
Men,Gold,Archery,1980,Canada,CAN
Men,Gold,Archery,1980,Mexico,MEX
Men,Gold,Archery,1980,Finland,FIN
Men,Gold,Archery,1980,France,FRA
Men,Gold,Archery,1980,FR Germany,FRG
Men,Gold,Archery,1980,Korea,KOR
Women,Gold,Archery,1980,Norway,NOR
Women,Gold,Archery,1980,New Zealand,NZL
Women,Gold,Archery,1980,Japan,JPN
Women,Gold,Archery,1980,Austria,AUT
Women,Gold,Archery,1980,United States of America,USA
Men,Gold,Archery,1980,FR Germany,FRG
Men,Gold,Archery,1980,FR Germany,FRG
Men,Gold,Archery,1980,FR Germany,FRG
Men,Gold,Archery,1980,Belgium,BEL
Men,Gold,Archery,1980,Belgium,BEL
Men,Gold,Archery,1980,Belgium,BEL
Men,Gold,Archery,1984,Canada,CAN
Men,Gold,Archery,1984,Great Britain,GBR
Men,Gold,Archery,1984,Norway,NOR
Men,Gold,Archery,1984,Sweden,SWE
Men,Gold,Archery,1984,Belgium,BEL
Men,Gold,Archery,1984,Austria,AUT
Men,Gold,Archery,1984,Switzerland,SUI
Men,Gold,Archery,1984,Sweden,SWE
Men,Gold,Archery,1984,France,FRA
Men,Gold,Archery,1984,Austria,AUT
Women,Gold,Archery,1984,Great Britain,GBR
Women,Gold,Archery,1984,FR Germany,FRG
Women,Gold,Archery,1984,United States of America,USA
Women,Gold,Archery,1984,France,FRA
Men,Gold,Archery,1984,Belgium,BEL
Men,Gold,Archery,1984,Sweden,SWE
Men,Gold,Archery,1984,Sweden,SWE
Men,Gold,Archery,1984,France,FRA
Men,Gold,Archery,1984,France,FRA
Men,Gold,Archery,1988,Belgium,BEL
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Switzerland,SUI
Men,Gold,Archery,1988,Finland,FIN
Women,Gold,Archery,1988,Korea,KOR
Women,Gold,Archery,1988,Great Britain,GBR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Men,Gold,Archery,1988,Korea,KOR
Women,Gold,Archery,1988,Great Britain,GBR
Women,Gold,Archery,1988,Great Britain,GBR
Women,Gold,Archery,1988,Great Britain,GBR
Men,Gold,Archery,1992,Japan,JPN
Men,Gold,Archery,1992,Italy,ITA
Men,Gold,Archery,1992,Denmark,DEN
Women,Gold,Archery,1992,Italy,ITA
Women,Gold,Archery,1992,-,EUN
Men,Gold,Archery,1992,Germany,GER
Men,Gold,Archery,1992,Germany,GER
Men,Gold,Archery,1992,Germany,GER
Men,Gold,Archery,1992,Korea,KOR
Men,Gold,Archery,1992,Korea,KOR
Men,Gold,Archery,1992,Korea,KOR
Men,Gold,Archery,1996,Finland,FIN
Men,Gold,Archery,1996,Korea,KOR
Men,Gold,Archery,1996,Poland,POL
Women,Gold,Archery,1996,Japan,JPN
Women,Gold,Archery,1996,Poland,POL
Men,Gold,Archery,1996,Germany,GER
Men,Gold,Archery,1996,Germany,GER
Men,Gold,Archery,1996,Germany,GER
Men,Gold,Archery,1996,Korea,KOR
Men,Gold,Archery,1996,Korea,KOR
Men,Gold,Archery,1996,Korea,KOR
Women,Gold,Archery,1996,Italy,ITA
Women,Gold,Archery,1996,Italy,ITA
Women,Gold,Archery,1996,Italy,ITA
Men,Gold,Archery,2000,Czech Republic,CZE
Men,Gold,Archery,2000,Korea,KOR
Men,Gold,Archery,2000,Korea,KOR
Women,Gold,Archery,2000,Italy,ITA
Women,Gold,Archery,2000,Great Britain,GBR
Men,Gold,Archery,2000,Italy,ITA
Men,Gold,Archery,2000,Italy,ITA
Men,Gold,Archery,2000,Italy,ITA
Women,Gold,Archery,2000,Italy,ITA
Women,Gold,Archery,2000,Italy,ITA
Women,Gold,Archery,2000,Italy,ITA
Men,Gold,Archery,2004,Great Britain,GBR
Men,Gold,Archery,2004,Germany,GER
Men,Gold,Archery,2004,Slovakia,SVK
Women,Gold,Archery,2004,Italy,ITA
Women,Gold,Archery,2004,China,CHN
Men,Gold,Archery,2004,Korea,KOR
Men,Gold,Archery,2004,Korea,KOR
Men,Gold,Archery,2004,Korea,KOR
Women,Gold,Archery,2004,Great Britain,GBR
Women,Gold,Archery,2004,Great Britain,GBR
Women,Gold,Archery,2004,Great Britain,GBR
Men,Gold,Archery,2008,Czech Republic,CZE
Men,Gold,Archery,2008,Great Britain,GBR
Men,Gold,Archery,2008,China,CHN
Men,Gold,Archery,2008,Mongolia,MGL
Women,Gold,Archery,2008,Great Britain,GBR
Women,Gold,Archery,2008,Turkey,TUR
Women,Gold,Archery,2008,Korea,KOR
Men,Gold,Archery,2008,Korea,KOR
Men,Gold,Archery,2008,Korea,KOR
Men,Gold,Archery,2008,Korea,KOR
Women,Gold,Archery,2008,China,CHN
Women,Gold,Archery,2008,China,CHN
Women,Gold,Archery,2008,China,CHN
Men,Gold,Archery,2012,United States of America,USA
Men,Gold,Archery,2012,Finland,FIN
Men,Gold,Archery,2012,Italy,ITA
Men,Gold,Archery,2012,Russia,RUS
Women,Gold,Archery,2012,Great Britain,GBR
Women,Gold,Archery,2012,Iran,IRI
Women,Gold,Archery,2012,China,CHN
Men,Gold,Archery,2012,Russia,RUS
Men,Gold,Archery,2012,Russia,RUS
Men,Gold,Archery,2012,Russia,RUS
Women,Gold,Archery,2012,Korea,KOR
Women,Gold,Archery,2012,Korea,KOR
Women,Gold,Archery,2012,Korea,KOR
Men,Gold,Archery,2016,Great Britain,GBR
Men,Gold,Archery,2016,United States of America,USA
Men,Gold,Archery,2016,Iran,IRI
Women,Gold,Archery,2016,Great Britain,GBR
Women,Gold,Archery,2016,China,CHN
Women,Gold,Archery,2016,Iran,IRI
Mixed,Gold,Archery,2016,Great Britain,GBR
Mixed,Gold,Archery,2016,Great Britain,GBR
Mixed,Gold,Archery,2016,China,CHN
Mixed,Gold,Archery,2016,China,CHN
Mixed,Gold,Archery,2016,China,CHN
Mixed,Gold,Archery,2016,China,CHN
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Sweden,SWE
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Great Britain,GBR
Men,Gold,Athletics,1980,France,FRA
Men,Gold,Athletics,1980,Denmark,DEN
Men,Gold,Athletics,1980,Poland,POL
Men,Gold,Athletics,1980,Canada,CAN
Men,Gold,Athletics,1980,Canada,CAN
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,Finland,FIN
Men,Gold,Athletics,1980,Norway,NOR
Men,Gold,Athletics,1980,Australia,AUS
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Sweden,SWE
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,Belgium,BEL
Men,Gold,Athletics,1980,Austria,AUT
Men,Gold,Athletics,1980,United States of America,USA
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Australia,AUS
Men,Gold,Athletics,1980,Canada,CAN
Men,Gold,Athletics,1980,Poland,POL
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,Austria,AUT
Men,Gold,Athletics,1980,Canada,CAN
Men,Gold,Athletics,1980,Finland,FIN
Men,Gold,Athletics,1980,Norway,NOR
Men,Gold,Athletics,1980,Poland,POL
Men,Gold,Athletics,1980,FR Germany,FRG
Men,Gold,Athletics,1980,Mexico,MEX
Men,Gold,Athletics,1980,Belgium,BEL
Men,Gold,Athletics,1980,Austria,AUT
Men,Gold,Athletics,1980,United States of America,USA
