gender,medal,type,year,country,abb,longitude,latitude
Men,Gold,Archery,1980,Denmark,DEN,9.501785,56.26392
Men,Silver,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Bronze,Archery,1980,Japan,JPN,138.252924,36.204824
Men,Gold,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Silver,Archery,1980,Belgium,BEL,4.469936,50.503887
Men,Bronze,Archery,1980,Great Britain,GBR,-3.435973,55.378051
Men,Gold,Archery,1980,Canada,CAN,-106.346771,56.130366
Men,Silver,Archery,1980,Norway,NOR,8.468946,60.472024
Men,Bronze,Archery,1980,France,FRA,2.213749,46.227638
Men,Gold,Archery,1980,Mexico,MEX,-102.552784,23.634501
Men,Silver,Archery,1980,Netherlands,NED,5.291266,52.132633
Men,Bronze,Archery,1980,Netherlands,NED,5.291266,52.132633
Men,Gold,Archery,1980,Finland,FIN,25.748151,61.92411
Men,Silver,Archery,1980,Japan,JPN,138.252924,36.204824
Men,Bronze,Archery,1980,Sweden,SWE,18.643501,60.128161
Men,Gold,Archery,1980,France,FRA,2.213749,46.227638
Men,Silver,Archery,1980,United States of America,USA,-95.712891,37.09024
Men,Bronze,Archery,1980,France,FRA,2.213749,46.227638
Men,Gold,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Silver,Archery,1980,Australia,AUS,133.775136,-25.274398
Men,Bronze,Archery,1980,Norway,NOR,8.468946,60.472024
Men,Gold,Archery,1980,Korea,KOR,127.766922,35.907757
Men,Silver,Archery,1980,Austria,AUT,14.550072,47.516231
Men,Bronze,Archery,1980,Austria,AUT,14.550072,47.516231
Women,Gold,Archery,1980,Norway,NOR,8.468946,60.472024
Women,Silver,Archery,1980,Poland,POL,19.145136,51.919438
Women,Bronze,Archery,1980,France,FRA,2.213749,46.227638
Women,Gold,Archery,1980,New Zealand,NZL,174.885971,-40.900557
Women,Silver,Archery,1980,Finland,FIN,25.748151,61.92411
Women,Bronze,Archery,1980,FR Germany,FRG,10.451526,51.165691
Women,Gold,Archery,1980,Japan,JPN,138.252924,36.204824
Women,Gold,Archery,1980,Austria,AUT,14.550072,47.516231
Women,Silver,Archery,1980,Great Britain,GBR,-3.435973,55.378051
Women,Gold,Archery,1980,United States of America,USA,-95.712891,37.09024
Women,Silver,Archery,1980,New Zealand,NZL,174.885971,-40.900557
Women,Bronze,Archery,1980,Great Britain,GBR,-3.435973,55.378051
Men,Gold,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Gold,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Gold,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Silver,Archery,1980,Sweden,SWE,18.643501,60.128161
Men,Silver,Archery,1980,Sweden,SWE,18.643501,60.128161
Men,Silver,Archery,1980,Sweden,SWE,18.643501,60.128161
Men,Gold,Archery,1980,Belgium,BEL,4.469936,50.503887
Men,Gold,Archery,1980,Belgium,BEL,4.469936,50.503887
Men,Gold,Archery,1980,Belgium,BEL,4.469936,50.503887
Men,Silver,Archery,1980,Great Britain,GBR,-3.435973,55.378051
Men,Silver,Archery,1980,Great Britain,GBR,-3.435973,55.378051
Men,Bronze,Archery,1980,FR Germany,FRG,10.451526,51.165691
Men,Gold,Archery,1984,Canada,CAN,-106.346771,56.130366
Men,Gold,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Men,Gold,Archery,1984,Norway,NOR,8.468946,60.472024
Men,Silver,Archery,1984,Belgium,BEL,4.469936,50.503887
Men,Bronze,Archery,1984,France,FRA,2.213749,46.227638
Men,Gold,Archery,1984,Sweden,SWE,18.643501,60.128161
Men,Silver,Archery,1984,Spain,ESP,-3.74922,40.463667
Men,Bronze,Archery,1984,Finland,FIN,25.748151,61.92411
Men,Gold,Archery,1984,Belgium,BEL,4.469936,50.503887
Men,Silver,Archery,1984,Netherlands,NED,5.291266,52.132633
Men,Bronze,Archery,1984,Finland,FIN,25.748151,61.92411
Men,Gold,Archery,1984,Austria,AUT,14.550072,47.516231
Men,Silver,Archery,1984,Netherlands,NED,5.291266,52.132633
Men,Bronze,Archery,1984,Norway,NOR,8.468946,60.472024
Men,Gold,Archery,1984,Switzerland,SUI,8.227512,46.818188
Men,Silver,Archery,1984,Korea,KOR,127.766922,35.907757
Men,Bronze,Archery,1984,Italy,ITA,12.56738,41.87194
Men,Gold,Archery,1984,Sweden,SWE,18.643501,60.128161
Men,Gold,Archery,1984,France,FRA,2.213749,46.227638
Men,Silver,Archery,1984,France,FRA,2.213749,46.227638
Men,Bronze,Archery,1984,United States of America,USA,-95.712891,37.09024
Men,Gold,Archery,1984,Austria,AUT,14.550072,47.516231
Men,Silver,Archery,1984,Australia,AUS,133.775136,-25.274398
Men,Bronze,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Women,Gold,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Women,Silver,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Women,Gold,Archery,1984,FR Germany,FRG,10.451526,51.165691
Women,Silver,Archery,1984,Belgium,BEL,4.469936,50.503887
Women,Bronze,Archery,1984,Italy,ITA,12.56738,41.87194
Women,Gold,Archery,1984,United States of America,USA,-95.712891,37.09024
Women,Silver,Archery,1984,Japan,JPN,138.252924,36.204824
Women,Bronze,Archery,1984,Australia,AUS,133.775136,-25.274398
Women,Gold,Archery,1984,France,FRA,2.213749,46.227638
Women,Silver,Archery,1984,Austria,AUT,14.550072,47.516231
Women,Bronze,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Men,Gold,Archery,1984,Belgium,BEL,4.469936,50.503887
Men,Silver,Archery,1984,Netherlands,NED,5.291266,52.132633
Men,Bronze,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Men,Gold,Archery,1984,Sweden,SWE,18.643501,60.128161
Men,Gold,Archery,1984,Sweden,SWE,18.643501,60.128161
Men,Silver,Archery,1984,France,FRA,2.213749,46.227638
Men,Silver,Archery,1984,France,FRA,2.213749,46.227638
Men,Silver,Archery,1984,France,FRA,2.213749,46.227638
Men,Bronze,Archery,1984,FR Germany,FRG,10.451526,51.165691
Men,Bronze,Archery,1984,FR Germany,FRG,10.451526,51.165691
Men,Bronze,Archery,1984,FR Germany,FRG,10.451526,51.165691
Men,Gold,Archery,1984,France,FRA,2.213749,46.227638
Men,Silver,Archery,1984,Australia,AUS,133.775136,-25.274398
Men,Bronze,Archery,1984,Great Britain,GBR,-3.435973,55.378051
Men,Gold,Archery,1984,France,FRA,2.213749,46.227638
Men,Gold,Archery,1988,Belgium,BEL,4.469936,50.503887
Men,Silver,Archery,1988,Japan,JPN,138.252924,36.204824
Men,Bronze,Archery,1988,Korea,KOR,127.766922,35.907757
Men,Gold,Archery,1988,Korea,KOR,127.766922,35.907757
Men,Silver,Archery,1988,Belgium,BEL,4.469936,50.503887
Men,Bronze,Archery,1988,Spain,ESP,-3.74922,40.463667
Men,Gold,Archery,1988,Switzerland,SUI,8.227512,46.818188
Men,Silver,Archery,1988,Korea,KOR,127.766922,35.907757
Men,Bronze,Archery,1988,FR Germany,FRG,10.451526,51.165691
Men,Gold,Archery,1988,Finland,FIN,25.748151,61.92411
Men,Silver,Archery,1988,Japan,JPN,138.252924,36.204824
Men,Bronze,Archery,1988,United States of America,USA,-95.712891,37.09024
Women,Gold,Archery,1988,Korea,KOR,127.766922,35.907757
Women,Silver,Archery,1988,FR Germany,FRG,10.451526,51.165691
Women,Bronze,Archery,1988,Denmark,DEN,9.501785,56.26392
Women,Gold,Archery,1988,Great Britain,GBR,-3.435973,55.378051
